method,snr_db,p_detect,mean_abs_frequency_error_hz,std_abs_frequency_error_hz,mc_runs,sample_count,success_tolerance_hz
FFT peak,-25.0,0.8375,3.900130865112594,9.9137094140446,80,12000,0.05
GLRT,-25.0,0.975,0.2734419247349411,2.411879800541418,80,12000,0.05
FFT peak,-22.0,1.0,0.00145357985139912,0.003340481068656085,80,12000,0.05
GLRT,-22.0,1.0,0.00145357985139912,0.003340481068656085,80,12000,0.05
FFT peak,-20.0,1.0,0.0011179171191355059,0.0029854958374070603,80,12000,0.05
GLRT,-20.0,1.0,0.0011179171191355059,0.0029854958374070603,80,12000,0.05
FFT peak,-18.0,1.0,0.00026937940637490886,0.00020526710063346749,80,12000,0.05
GLRT,-18.0,1.0,0.00026937940637490886,0.00020526710063346749,80,12000,0.05
FFT peak,-15.0,1.0,0.00019638942112761292,0.00015009093700120972,80,12000,0.05
GLRT,-15.0,1.0,0.00019638942112761292,0.00015009093700120972,80,12000,0.05
FFT peak,-12.0,1.0,0.0001347622826367023,8.76740922414261e-05,80,12000,0.05
GLRT,-12.0,1.0,0.0001347622826367023,8.76740922414261e-05,80,12000,0.05
FFT peak,-10.0,1.0,9.65704762959596e-05,7.471547520587272e-05,80,12000,0.05
GLRT,-10.0,1.0,9.65704762959596e-05,7.471547520587272e-05,80,12000,0.05
FFT peak,-5.0,1.0,5.467077819540089e-05,4.593712738631732e-05,80,12000,0.05
GLRT,-5.0,1.0,5.467077819540089e-05,4.593712738631732e-05,80,12000,0.05
