rank,layout,regions,benchmark,objective,robust_min_lambda,mean_lambda,detection_min_lambda,detection_mean_lambda,trace_info,logdet_info,min_eigen_info,redundancy
1,v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,9.190399897081937e-05,7.27082912466983e-05,0.0006948994861491057,7.771014109687581e-05,0.00020355126519520396,5.319941751194915,-1.1959762857461715,0.13572297599906086,0.32182735609384944
2,v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,9.10533671223043e-05,7.414802546665734e-05,0.000637087678819735,7.996042118203962e-05,0.000181512921902926,5.102823818951487,-0.8744957854940292,0.2109403360313479,0.3634545459777941
3,v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,9.080877777221645e-05,7.129345752243191e-05,0.0006700178020493736,7.50001909715782e-05,0.0002025073919064942,4.838770097985301,-1.5121410416981236,0.12642088102070798,0.24711493405069937
4,v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,9.068942479260197e-05,7.344051329083844e-05,0.0006122059947200029,7.72838230354427e-05,0.00017888097347277659,4.621652165741873,-1.1924614428154505,0.21648671867638208,0.24864904411119104
5,v1_p105+v1_p074+v1_p062,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,9.013086216359518e-05,7.010975893005929e-05,0.0007097017616406478,7.380228287832864e-05,0.0002072776679808944,5.773251362160101,-1.1648210098487,0.13483743392434025,0.25016326082737134
6,v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,8.947573607819593e-05,7.167180880425198e-05,0.0006518899543112771,7.585240449720803e-05,0.00018574648239129296,5.556133429916674,-0.8354643562440363,0.1785562072680553,0.27557436845063576
7,v1_p117+v1_p074+v1_p026,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,8.93259566493311e-05,6.819830592690764e-05,0.0008331236235302672,7.359696264748036e-05,0.00022690774624012247,6.140759119566875,-1.5071861253174337,0.09135250261755175,0.36677170676401166
8,v1_p117+v1_p074+v1_p002,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,8.930102968537305e-05,6.852276851103711e-05,0.0008274201601514662,7.425989523754522e-05,0.00022475648785564109,6.057733314004613,-1.747616635139557,0.06412215112373068,0.3862870199423245
9,v1_p074+v1_p117+v1_p119,gearbox_zone_left+gearbox_zone_right+output_shaft_zone,v1_v0_region_baseline,7.656502734361275e-05,5.2264662688071105e-05,0.0009014238145514358,5.560007986586073e-05,0.0002561989694394571,4.841591332219346,-1.4218181927271587,0.1589941231965132,0.29994715707572417
10,v1_p002+v1_p075+v1_p093,gearbox_zone_left+gearbox_zone_right+gearbox_zone_right,v1_random_three,6.354717442713363e-05,4.1716599681304395e-05,0.0007362373142840946,4.3683896585147076e-05,0.00022565859829237446,4.2268396531234425,-2.151372024352308,0.09460748800877788,0.22517415542453958
11,v1_p015+v1_p105+v1_p117,gearbox_zone_right+gearbox_zone_right+gearbox_zone_right,v1_max_response_three,5.12557937843593e-05,8.665155592646912e-06,0.0014585542359924176,9.666466225341613e-06,0.0004843425030580993,4.578729542732542,-4.8355124225617985,0.01746895797544377,0.517930032212633
12,v1_p009+v1_p035+v1_p038,gearbox_zone_right+output_shaft_zone+gearbox_zone_left,v1_spaced_three,4.6392826893580374e-05,3.0102815408424278e-05,0.0005383954591743076,3.1277400490217967e-05,0.00016768308640197703,2.9539504777017616,-4.310786621695788,0.015625618508424775,0.18776897430479256
