rank,layout,regions,benchmark,objective,robust_min_lambda,raw_mean_lambda,detection_min_lambda,detection_mean_lambda,trace_info,logdet_info,min_eigen_info,redundancy,validation_rank,validation_score,validated_role
1,v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,0.00011075116702454109,9.105997574399073e-05,0.0006360588485096797,9.165972131629307e-05,0.00019066508065668708,4.775302254674735,-0.12391007450421712,0.375316421714956,0.032715873651458026,6,0.2329166666666666,v1_validated_candidate
2,v1_p026+v1_p021+v1_p012,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,0.00011027478247776743,8.970991888563665e-05,0.0006618674106038485,9.125036860556497e-05,0.00020195568733078314,5.086219957235649,0.0184180835296886,0.37438750537487103,0.08440786286502566,2,0.32687499999999997,v1_validated_candidate
3,v1_p021+v1_p002+v1_p012,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,0.00010781958196924258,8.752664939448132e-05,0.0006561639472250477,8.89382922218594e-05,0.00019928260189665497,5.003194151673386,-0.1689997974172145,0.3130832593755049,0.07936080129898905,8,0.21979166666666666,v1_validated_candidate
4,v1_p021+v1_p002+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,0.00010768239574350129,8.841010619279905e-05,0.0006303553851308788,8.945459318730689e-05,0.00018813314596792055,4.692276449112472,-0.1981954001838274,0.35641663520969846,0.058380847606160524,4,0.28479166666666667,v1_validated_candidate
5,v1_p026+v1_p007+v1_p012,gearbox_zone_left+bearing_zone_right+bearing_zone_left,v1_adaptive_candidate,0.00010734484979169419,9.307690433337231e-05,0.0004349102177467929,9.589821464656095e-05,0.0001438123470500577,4.671740132417089,-1.7845738964823852,0.07711344887147464,0.1470992094892888,9,0.18854166666666666,v1_validated_candidate
6,v1_p012+v1_p026+v1_p035,bearing_zone_left+gearbox_zone_left+output_shaft_zone,v1_v0_region_baseline,0.000103325778193801,8.866250946721482e-05,0.00044564806241019885,9.131720510097867e-05,0.0001478134540141414,4.622367272712414,-2.156146942461772,0.05417189254893712,0.14535572079917938,3,0.3035416666666666,v1_validated_candidate
7,v1_p015+v1_p021+v1_p026,gearbox_zone_right+gearbox_zone_right+gearbox_zone_left,v1_max_response_three,6.546732468294449e-05,3.740497781537956e-05,0.0009916712324700586,3.869716615635984e-05,0.000284369102165135,5.009979148401118,-1.9056918309584743,0.05241650057123072,0.16696162398030256,1,0.36250000000000004,v1_validated_best
8,v1_p008+v1_p024+v1_p026,gearbox_zone_left+bearing_zone_left+gearbox_zone_left,v1_random_three,5.175648734106024e-05,4.057797140740491e-05,0.0003619417307262298,4.4230677410295984e-05,0.00012238629341551434,5.13549000596323,-3.1753716003158483,0.048628164585641,0.41291544881933023,7,0.2316666666666667,v1_validated_candidate
9,v1_p012+v1_p023+v1_p033,bearing_zone_left+output_shaft_zone+gearbox_zone_right,v1_spaced_three,2.629625098098539e-05,7.736102426429558e-06,0.0005941547509995505,7.796729655817772e-06,0.0001825040277644596,3.059919404931582,-3.685501278810362,0.03063536848536688,0.038879909952357426,5,0.24166666666666664,v1_validated_candidate
