rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
1,bearing_left+gearbox_left+output_shaft,3,0.6737215909090909,0.5171164772727272,0.4539772727272728,0.009583333333333334,0.0446662335356405,0.632221807474604
2,bearing_left+gearbox_left+gearbox_right,3,0.6687500000000001,0.5086647727272727,0.4537878787878788,0.012037037037037039,0.04061168323863636,0.6243700843066077
3,bearing_left+bearing_right+gearbox_left,3,0.6581439393939393,0.4983664772727272,0.41609848484848483,0.007500000000000001,0.039076085786845724,0.6236058965005165
4,bearing_right+gearbox_left+output_shaft,3,0.6723011363636363,0.5134943181818181,0.4384469696969697,0.015648148148148147,0.0504902854898416,0.6157596973224193
5,bearing_right+gearbox_left+input_shaft,3,0.6441761363636364,0.4771306818181818,0.4126893939393939,0.008703703703703705,0.03214489981491047,0.6106962790487737
6,bearing_left+gearbox_left+input_shaft,3,0.6510416666666666,0.48856534090909093,0.41306818181818183,0.011666666666666667,0.03414100163567493,0.6106378325154959
7,gearbox_left+input_shaft+output_shaft,3,0.6524147727272728,0.48728693181818183,0.42083333333333334,0.013425925925925926,0.04186565136449724,0.6046300951931722
8,bearing_right+gearbox_left+gearbox_right,3,0.6507575757575758,0.4828125,0.41382575757575757,0.011527777777777777,0.047801712078168045,0.6038011641629362
9,bearing_left+gearbox_left,2,0.6336647727272727,0.46115056818181815,0.42159090909090907,0.009537037037037037,0.03078322733729338,0.599199084984552
10,gearbox_left+gearbox_right+input_shaft,3,0.631060606060606,0.4581676136363636,0.4119318181818182,0.010416666666666666,0.035872584151170804,0.5922909806516873
11,bearing_right+gearbox_left,2,0.6203124999999999,0.4396306818181818,0.3971590909090909,0.006481481481481481,0.040407318031163916,0.5871458780214551
12,gearbox_left+gearbox_right+output_shaft,3,0.6293560606060606,0.4591619318181818,0.3725378787878788,0.012175925925925925,0.059280733471074376,0.5753638420186715
13,gearbox_left+input_shaft,2,0.6048295454545455,0.41974431818181823,0.39564393939393944,0.00939814814814815,0.023329055828168046,0.5743687212441652
14,gearbox_left+output_shaft,2,0.616003787878788,0.4396306818181818,0.3547348484848485,0.010462962962962964,0.061363394240702474,0.5643961648325106
15,bearing_left+gearbox_right+output_shaft,3,0.6266098484848485,0.47357954545454545,0.2833333333333333,0.015185185185185185,0.07894886363636365,0.5567650462962963
16,bearing_left+bearing_right+output_shaft,3,0.6099431818181817,0.4666193181818181,0.2159090909090909,0.005648148148148149,0.08982187822830578,0.5537359464077326
17,bearing_right+input_shaft+output_shaft,3,0.604782196969697,0.4546875,0.23579545454545456,0.011342592592592593,0.08141955331008954,0.541387235129467
18,bearing_right+gearbox_right+output_shaft,3,0.6128787878787879,0.4506392045454546,0.2946969696969697,0.016805555555555556,0.0795691825929752,0.5394830854711893
19,gearbox_left+gearbox_right,2,0.5861742424242425,0.40326704545454545,0.33125,0.01013888888888889,0.05316325542355372,0.5393148369346877
20,bearing_left+input_shaft+output_shaft,3,0.600094696969697,0.45490056818181823,0.20587121212121215,0.008749999999999999,0.08936617596418732,0.5379116089876033
21,bearing_left+bearing_right+gearbox_right,3,0.5977746212121212,0.4529119318181818,0.20075757575757577,0.009768518518518518,0.08123169281594352,0.5376217377671124
22,bearing_right+gearbox_right+input_shaft,3,0.5737215909090909,0.41839488636363636,0.20454545454545456,0.009398148148148149,0.07456015678805096,0.5176452162187691
23,gearbox_right+input_shaft+output_shaft,3,0.5738636363636364,0.4046875,0.26704545454545453,0.010694444444444444,0.07271696905130855,0.5161162629490933
24,bearing_left+gearbox_right+input_shaft,3,0.5738162878787879,0.42592329545454544,0.1744318181818182,0.009953703703703706,0.08003972161243113,0.5138890196651649
25,bearing_left+output_shaft,2,0.5840909090909091,0.4336647727272728,0.19545454545454546,0.01175925925925926,0.09346300361570248,0.5138408887645394
26,bearing_right+output_shaft,2,0.5675189393939394,0.40752840909090915,0.21212121212121213,0.008703703703703703,0.09702686488464186,0.5015980995442111
27,bearing_left+bearing_right+input_shaft,3,0.5537405303030303,0.4156960227272727,0.11458333333333333,0.007314814814814816,0.0885167683582989,0.49485251649425127
28,gearbox_left,1,0.5530303030303031,0.36157670454545454,0.29640151515151514,0.017777777777777778,0.04535080922865014,0.4947993428604223
29,bearing_left+gearbox_right,2,0.546590909090909,0.39467329545454544,0.1481060606060606,0.009074074074074075,0.08063468491735537,0.48812541848408325
30,input_shaft+output_shaft,2,0.5535984848484848,0.3901988636363637,0.2034090909090909,0.013796296296296298,0.07928326231060606,0.4863642611005892
31,bearing_right+gearbox_right,2,0.5425662878787879,0.37947443181818186,0.19015151515151515,0.009398148148148149,0.08279021123880854,0.48237488596308725
32,bearing_left+bearing_right,2,0.531534090909091,0.3908380681818182,0.09166666666666667,0.008564814814814815,0.0902794636707989,0.46926472944406195
33,gearbox_right+output_shaft,2,0.5133522727272727,0.3436789772727273,0.20321969696969697,0.011620370370370371,0.09375901235365014,0.4432320258097069
34,bearing_right+input_shaft,2,0.4954545454545454,0.3410511363636364,0.09431818181818181,0.00662037037037037,0.07877811316287879,0.44282474813236533
35,gearbox_right+input_shaft,2,0.4868371212121212,0.3216619318181818,0.16515151515151513,0.012916666666666667,0.06027187715220386,0.430867849302686
36,bearing_left+input_shaft,2,0.49043560606060616,0.3448863636363637,0.05700757575757576,0.010138888888888888,0.08994213261880167,0.42518676197342753
37,bearing_left,1,0.49313446969696967,0.3509232954545454,0.048106060606060604,0.015555555555555557,0.09070642056215565,0.4166701483047807
38,bearing_right,1,0.45785984848484845,0.29879261363636367,0.07234848484848484,0.013333333333333334,0.08552322766012395,0.38843156798811984
39,output_shaft,1,0.457907196969697,0.30021306818181814,0.13768939393939394,0.011111111111111112,0.10223273663481404,0.38456860643006774
40,gearbox_right,1,0.3474905303030303,0.21122159090909093,0.09507575757575758,0.009444444444444445,0.07994093545540634,0.28863117368643826
41,input_shaft,1,0.31671401515151515,0.1654119318181818,0.027840909090909086,0.01925925925925926,0.0536540251592631,0.2513684840533651
