metric,value,note
sample_count,40001.0,样本数量
sampling_rate_hz,100.00000000009095,由时间列估计
duration_s,400.0,观测时长
raw_mean,4.467021990674166e-05,预处理前均值
raw_std,0.10306275348304482,预处理前标准差
preprocessed_mean,-1.7763124315894607e-19,线性去趋势后均值
preprocessed_std,0.10306271599985244,线性去趋势后标准差
residual_mean,-7.837978604388495e-18,移除拟合正弦后的均值
residual_std,0.10001364028429421,噪声标准差估计
residual_skewness,-0.010043298463297112,接近 0 表示近似对称
residual_excess_kurtosis,-0.008894682778441076,接近 0 表示近似 Gaussian
fitted_signal_rms,0.024883632900966103,提取正弦信号 RMS
estimated_noise_rms,0.10001364028429421,残差噪声 RMS
estimated_snr_db,-12.082908984603623,10log10(信号功率/噪声功率)
