source,metric,value
raw,mean,4.467021990674166e-05
raw,std,0.10306275348304482
raw,skewness,-0.003493905075339942
raw,excess_kurtosis,-0.035122381753364795
raw,raw_kurtosis,2.964877618246635
raw,crest_factor,4.0479188272335875
raw,jarque_bera,2.1374054183513422
raw,jarque_bera_p_approx,0.34345378798128035
residual,mean,-3.9967029710762866e-19
residual,std,0.10001364027403441
residual,skewness,-0.010043238728354874
residual,excess_kurtosis,-0.008894668065863698
residual,raw_kurtosis,2.9911053319341363
residual,crest_factor,4.4566526113834986
residual,jarque_bera,0.8043229352720331
residual,jarque_bera_p_approx,0.6688727356710954
residual,acf_lag_1,0.0010714300589169938
residual,acf_lag_10,0.003540547028310972
residual,acf_lag_50,0.00014348089430052562
residual,max_abs_acf_lag_1_100,0.012933555160175426
spectrum,target_peak_suppression_db,30.4478572625068
spectrum,largest_side_peak_to_local_median,6.810292981226076
decision,trigger_mckd_branch,0.0
