snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,runs,random_phase_average_success_rate,worst_phase_bin_success_rate,best_phase_bin_success_rate,phase_bin_count_used
-6.0,1:1,1,0.001,200,0.87,0.64,1.0,8
-6.0,1:1,1,0.002,200,1.0,1.0,1.0,8
-6.0,1:1,1,0.0025,200,1.0,1.0,1.0,8
-6.0,1:1,1,0.003,200,1.0,1.0,1.0,8
-6.0,1:1,1,0.004,200,1.0,1.0,1.0,8
-6.0,1:1,1,0.005,200,1.0,1.0,1.0,8
-6.0,1:1,1,0.008,200,1.0,1.0,1.0,8
-6.0,1:1,1,0.01,200,1.0,1.0,1.0,8
-6.0,1:1,1,0.015,200,1.0,1.0,1.0,8
-6.0,1:1,1,0.02,200,0.995,0.9696969696969697,1.0,8
-6.0,1:3,3,0.001,200,0.78,0.34782608695652173,1.0,8
-6.0,1:3,3,0.002,200,0.745,0.42857142857142855,1.0,8
-6.0,1:3,3,0.0025,200,0.975,0.8076923076923077,1.0,8
-6.0,1:3,3,0.003,200,1.0,1.0,1.0,8
-6.0,1:3,3,0.004,200,1.0,1.0,1.0,8
-6.0,1:3,3,0.005,200,1.0,1.0,1.0,8
-6.0,1:3,3,0.008,200,1.0,1.0,1.0,8
-6.0,1:3,3,0.01,200,1.0,1.0,1.0,8
-6.0,1:3,3,0.015,200,1.0,1.0,1.0,8
-6.0,1:3,3,0.02,200,0.985,0.9411764705882353,1.0,8
-6.0,1:10,10,0.001,200,0.645,0.12903225806451613,1.0,8
-6.0,1:10,10,0.002,200,0.73,0.16,1.0,8
-6.0,1:10,10,0.0025,200,0.805,0.0,1.0,8
-6.0,1:10,10,0.003,200,1.0,1.0,1.0,8
-6.0,1:10,10,0.004,200,1.0,1.0,1.0,8
-6.0,1:10,10,0.005,200,1.0,1.0,1.0,8
-6.0,1:10,10,0.008,200,1.0,1.0,1.0,8
-6.0,1:10,10,0.01,200,0.995,0.9615384615384616,1.0,8
-6.0,1:10,10,0.015,200,1.0,1.0,1.0,8
-6.0,1:10,10,0.02,200,0.96,0.8333333333333334,1.0,8
-12.0,1:1,1,0.001,200,0.735,0.4,1.0,8
-12.0,1:1,1,0.002,200,0.995,0.9722222222222222,1.0,8
-12.0,1:1,1,0.0025,200,1.0,1.0,1.0,8
-12.0,1:1,1,0.003,200,1.0,1.0,1.0,8
-12.0,1:1,1,0.004,200,1.0,1.0,1.0,8
-12.0,1:1,1,0.005,200,1.0,1.0,1.0,8
-12.0,1:1,1,0.008,200,1.0,1.0,1.0,8
-12.0,1:1,1,0.01,200,1.0,1.0,1.0,8
-12.0,1:1,1,0.015,200,1.0,1.0,1.0,8
-12.0,1:1,1,0.02,200,1.0,1.0,1.0,8
-12.0,1:3,3,0.001,200,0.76,0.36363636363636365,1.0,8
-12.0,1:3,3,0.002,200,0.885,0.5714285714285714,1.0,8
-12.0,1:3,3,0.0025,200,0.99,0.8888888888888888,1.0,8
-12.0,1:3,3,0.003,200,1.0,1.0,1.0,8
-12.0,1:3,3,0.004,200,1.0,1.0,1.0,8
-12.0,1:3,3,0.005,200,1.0,1.0,1.0,8
-12.0,1:3,3,0.008,200,1.0,1.0,1.0,8
-12.0,1:3,3,0.01,200,1.0,1.0,1.0,8
-12.0,1:3,3,0.015,200,1.0,1.0,1.0,8
-12.0,1:3,3,0.02,200,1.0,1.0,1.0,8
-12.0,1:10,10,0.001,200,0.53,0.125,1.0,8
-12.0,1:10,10,0.002,200,0.755,0.2631578947368421,1.0,8
-12.0,1:10,10,0.0025,200,0.82,0.15789473684210525,1.0,8
-12.0,1:10,10,0.003,200,1.0,1.0,1.0,8
-12.0,1:10,10,0.004,200,1.0,1.0,1.0,8
-12.0,1:10,10,0.005,200,1.0,1.0,1.0,8
-12.0,1:10,10,0.008,200,1.0,1.0,1.0,8
-12.0,1:10,10,0.01,200,1.0,1.0,1.0,8
-12.0,1:10,10,0.015,200,1.0,1.0,1.0,8
-12.0,1:10,10,0.02,200,1.0,1.0,1.0,8
-18.0,1:1,1,0.001,200,0.32,0.045454545454545456,0.5185185185185185,8
-18.0,1:1,1,0.002,200,0.99,0.9615384615384616,1.0,8
-18.0,1:1,1,0.0025,200,1.0,1.0,1.0,8
-18.0,1:1,1,0.003,200,1.0,1.0,1.0,8
-18.0,1:1,1,0.004,200,1.0,1.0,1.0,8
-18.0,1:1,1,0.005,200,1.0,1.0,1.0,8
-18.0,1:1,1,0.008,200,1.0,1.0,1.0,8
-18.0,1:1,1,0.01,200,1.0,1.0,1.0,8
-18.0,1:1,1,0.015,200,1.0,1.0,1.0,8
-18.0,1:1,1,0.02,200,1.0,1.0,1.0,8
-18.0,1:3,3,0.001,200,0.535,0.1,0.8823529411764706,8
-18.0,1:3,3,0.002,200,0.87,0.4,1.0,8
-18.0,1:3,3,0.0025,200,0.995,0.9523809523809523,1.0,8
-18.0,1:3,3,0.003,200,1.0,1.0,1.0,8
-18.0,1:3,3,0.004,200,1.0,1.0,1.0,8
-18.0,1:3,3,0.005,200,1.0,1.0,1.0,8
-18.0,1:3,3,0.008,200,1.0,1.0,1.0,8
-18.0,1:3,3,0.01,200,1.0,1.0,1.0,8
-18.0,1:3,3,0.015,200,1.0,1.0,1.0,8
-18.0,1:3,3,0.02,200,1.0,1.0,1.0,8
-18.0,1:10,10,0.001,200,0.42,0.037037037037037035,0.6551724137931034,8
-18.0,1:10,10,0.002,200,0.745,0.38095238095238093,1.0,8
-18.0,1:10,10,0.0025,200,0.83,0.32142857142857145,1.0,8
-18.0,1:10,10,0.003,200,0.99,0.9666666666666667,1.0,8
-18.0,1:10,10,0.004,200,1.0,1.0,1.0,8
-18.0,1:10,10,0.005,200,1.0,1.0,1.0,8
-18.0,1:10,10,0.008,200,1.0,1.0,1.0,8
-18.0,1:10,10,0.01,200,1.0,1.0,1.0,8
-18.0,1:10,10,0.015,200,1.0,1.0,1.0,8
-18.0,1:10,10,0.02,200,1.0,1.0,1.0,8
