total_alpha,per_step_p_fa,bic_delta,glrt_mc,detected_k,frequencies_hz,amplitudes,bic_final,explained_variance,condition_design,iterations,stop_reason,runtime_s,variant
0.05,0.0025,10.0,500,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.3533733999993274,baseline
0.01,0.0005,10.0,500,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.3448272999994515,total_alpha=0.01
0.05,0.0025,10.0,500,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.3422145000004093,total_alpha=0.05
0.1,0.005,10.0,500,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.33115429999998014,total_alpha=0.1
0.05,0.0025,6.0,500,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.3329559999983758,bic_delta=6.0
0.05,0.0025,10.0,500,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.32249679999949876,bic_delta=10.0
0.05,0.0025,20.0,500,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.33248859999912384,bic_delta=20.0
0.05,0.0025,10.0,200,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.3364038999989134,glrt_mc=200
0.05,0.0025,10.0,500,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.3475458000011713,glrt_mc=500
0.05,0.0025,10.0,1000,4,3.99999817383;7.99992857147;13.0000888854;14.0000234854,0.0191029;0.0248894;0.0105029;0.0400527,-184169.8280022744,0.11915160249147161,1.000149904352055,5,GLRT below threshold,0.31415409999863186,glrt_mc=1000
