layout,regions,benchmark,validation_score,mean_pd_source,low_snr_pd_source,mean_min_pd_source,mean_p_fa,false_alarm_excess,validation_rank,validated_role
v1_p105+v1_p074+v1_p062,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,0.5220104166666667,0.61875,0.436875,0.47,0.051666666666666666,0.0016666666666666635,1,v1_validated_best
v1_p105+v1_p074+v1_p014,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,0.5143958333333334,0.6145833333333334,0.43000000000000005,0.48666666666666664,0.05499999999999999,0.0049999999999999906,2,v1_validated_candidate
v1_p117+v1_p074+v1_p002,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,0.5087083333333333,0.6204166666666667,0.44625000000000004,0.4666666666666666,0.060000000000000005,0.010000000000000002,3,v1_validated_candidate
v1_p074+v1_p021+v1_p062,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,0.5063229166666667,0.5991666666666667,0.41437500000000005,0.4583333333333333,0.042777777777777776,0.0,4,v1_validated_candidate
v1_p105+v1_p074+v1_p098,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_best,0.4925729166666667,0.5891666666666667,0.399375,0.4383333333333333,0.029444444444444443,0.0,5,v1_validated_candidate
v1_p074+v1_p021+v1_p098,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,0.48709375,0.5812499999999999,0.384375,0.455,0.03666666666666667,0.0,6,v1_validated_candidate
v1_p074+v1_p117+v1_p119,gearbox_zone_left+gearbox_zone_right+output_shaft_zone,v1_v0_region_baseline,0.48366666666666674,0.6091666666666667,0.4425,0.40666666666666673,0.06333333333333334,0.013333333333333336,7,v1_validated_candidate
v1_p117+v1_p074+v1_p026,gearbox_zone_right+gearbox_zone_left+gearbox_zone_left,v1_adaptive_candidate,0.4814166666666667,0.5783333333333334,0.39,0.42333333333333334,0.03222222222222222,0.0,8,v1_validated_candidate
v1_p074+v1_p021+v1_p014,gearbox_zone_left+gearbox_zone_right+gearbox_zone_left,v1_adaptive_candidate,0.4741666666666667,0.5666666666666667,0.37,0.4483333333333333,0.043333333333333335,0.0,9,v1_validated_candidate
v1_p002+v1_p075+v1_p093,gearbox_zone_left+gearbox_zone_right+gearbox_zone_right,v1_random_three,0.43511458333333336,0.5416666666666666,0.354375,0.33666666666666667,0.03666666666666666,0.0,10,v1_validated_candidate
v1_p009+v1_p035+v1_p038,gearbox_zone_right+output_shaft_zone+gearbox_zone_left,v1_spaced_three,0.3856041666666667,0.49541666666666667,0.32,0.25333333333333335,0.03888888888888889,0.0,11,v1_validated_candidate
v1_p015+v1_p105+v1_p117,gearbox_zone_right+gearbox_zone_right+gearbox_zone_right,v1_max_response_three,0.3357569444444445,0.47750000000000004,0.38125,0.09833333333333334,0.0661111111111111,0.016111111111111104,12,v1_validated_candidate
